feature,importance_mean,importance_std
OverallQual,0.16255445449394496,0.007978247895964753
GrLivArea,0.06931517055273459,0.003073582218920864
TotalBsmtSF,0.01947133947703978,0.0025316915954803104
GarageCars,0.010702292596515266,0.0008162414138968055
CentralAir,0.00725178214539767,0.0004683986394544444
BsmtFinSF1,0.006889753771408574,0.0013254483901057683
1stFlrSF,0.006028556919190997,0.0008165229360390852
GarageArea,0.005104242253021485,0.0014923210340213645
OverallCond,0.0045757176816119405,0.0008872396883020958
YearBuilt,0.004509612564136858,0.0008584382265431264
LotArea,0.004036539408682862,0.0006538540107566342
YearRemodAdd,0.0036658288790679338,0.0007610706312294495
GarageType,0.0024804128887806363,0.0008872191460327697
2ndFlrSF,0.0021028518004143765,0.0006675320430856744
GarageFinish,0.002000488428658437,0.0005182930624322634
Fireplaces,0.0019938142123181873,0.0005007231448701146
MSZoning,0.001871264402234829,0.00018612616129723593
BsmtQual,0.0013892608597598582,0.00020655954686473808
TotRmsAbvGrd,0.0009121161178793219,0.0001971759313085723
OpenPorchSF,0.0008213598669086719,0.0003839575044926046
Neighborhood,0.0007769301202687734,0.00015071255182362824
BsmtUnfSF,0.0007743354427597688,0.0003190081811700818
KitchenQual,0.0007451805845717002,0.00015975819857640396
LotFrontage,0.0007087357675656936,0.000332411826689414
ExterCond,0.0006262304351309339,0.0002666092296851239
Electrical,0.0005160123122058158,0.0001403036785151423
HalfBath,0.0004742753749919171,0.00013897892959268635
HeatingQC,0.00043482932854014276,0.00022672561306397575
WoodDeckSF,0.0004068732729900659,0.000175144960652801
MasVnrArea,0.0003989232606402965,0.000142994137838373
BsmtFinType1,0.00038751554726751956,0.0001469692847378992
PavedDrive,0.0003667485428672651,0.0001802394931192446
FullBath,0.0003648408262157121,0.00011112319821454031
SaleCondition,0.00031010381460638836,0.000102163287397303
BsmtExposure,0.00029437116391837494,0.00019966722860560666
BsmtFullBath,0.0002712573553597747,0.00011641455791294296
LandSlope,0.00023205045686111592,0.00010179977543315186
Condition1,0.0002005815894293911,6.332218125338325e-05
SaleType,0.00014009503006489344,2.9288525699722135e-05
YrSold,0.00012580026374918452,9.45557162173091e-05
LandContour,0.00012497612101224076,0.0002077958840361414
MSSubClass,0.0001226165743324986,0.00013340323041498953
MasVnrType,0.00011039603810955034,5.207949978051694e-05
KitchenAbvGr,0.00010935396701579614,7.926690464481667e-05
EnclosedPorch,9.225440392068295e-05,0.00012953325756656867
ScreenPorch,8.352990400989357e-05,3.823544751011115e-05
GarageYrBlt,8.041708621903677e-05,0.00034709208428453315
BedroomAbvGr,5.569997450697861e-05,0.000248711448224321
BsmtFinSF2,5.075014647216991e-05,5.032048133837951e-05
Alley,4.3697275870022144e-05,6.634726644102986e-05
GarageQual,4.273018385879679e-05,3.908835834898896e-05
Foundation,3.38271503850407e-05,9.883812216819604e-05
Condition2,2.954884019861492e-05,6.210367954138834e-05
GarageCond,2.5864078164242187e-05,1.343738754680362e-05
RoofStyle,2.198729404298272e-05,7.196552928323349e-05
BsmtCond,1.8086611743398094e-05,3.449927290783746e-05
MiscVal,1.088487192583143e-05,2.6282288152333395e-05
LowQualFinSF,4.438944446280568e-06,1.5741816185568464e-06
Utilities,-1.0269562977782698e-16,6.690187733356918e-17
PoolQC,-1.304512053934559e-16,5.558049685633556e-17
MiscFeature,-1.4432899320127036e-16,9.104505742017335e-17
PoolArea,-1.5647721577888297e-06,3.1812898702663167e-06
Heating,-2.544638550877609e-06,1.408075768283442e-05
MoSold,-5.456745883641867e-06,0.0002668930166498399
Street,-9.764618069704744e-06,3.4379131128858823e-07
LotConfig,-1.2809258663390444e-05,5.2898959937626086e-05
BldgType,-1.5864298683965218e-05,7.900541305232218e-05
BsmtHalfBath,-1.6460865424017258e-05,2.5619312823762862e-05
3SsnPorch,-2.5202475173374816e-05,5.7335364214214846e-06
Exterior2nd,-2.992642747148555e-05,0.00011008802494216053
RoofMatl,-3.079109933936675e-05,1.0250989810045272e-05
Functional,-4.598907160197341e-05,7.183366633860235e-05
FireplaceQu,-4.737187079938143e-05,9.226315472310136e-05
ExterQual,-7.498645869371822e-05,0.00018482685025308923
LotShape,-8.313432727108939e-05,9.348498009291911e-05
HouseStyle,-0.000123388385801973,5.593590720848392e-05
Exterior1st,-0.00014070974512460642,8.891708772451345e-05
BsmtFinType2,-0.00014460860490775885,6.759084532462675e-05
Fence,-0.0001480708816258669,0.00022542291016045462
Id,-0.0001502257717070382,0.00014911952617092502
